Jenis Kelamin,Usia,Jenjang Pendidikan,Jabatan/posisi,Apakah Anda memiliki sertifikat profesi manajemen risiko?,Silakan pilih sektor di mana perusahaan Anda berada!,"Jika memilih Sektor Jasa Keuangan, pilih industri di mana perusahaan Anda berada","Jika memilih Sektor Riil, pilih industri di mana perusahaan Anda berada!",Apakah perusahaan Anda merupakan BUMN/BUMD?,Apakah perusahaan Anda merupakan PMA?,Apakah perusahaan Anda merupakan public-listed company?
Perempuan,25 s.d. 35 tahun,S2,Profesional independen,Ya,Sektor Jasa Keuangan,Bank,,Ya,Tidak,Tidak
Laki-laki,>55 tahun,S2,Profesional independen,Ya,Sektor Riil,,"Aktivitas Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Ya,Tidak,Tidak
Laki-laki,25 s.d. 35 tahun,D3,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Lainnya,,Tidak,Tidak,Tidak
Laki-laki,25 s.d. 35 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Asuransi,,Ya,Tidak,Ya
Laki-laki,25 s.d. 35 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Bank,,Tidak,Tidak,Tidak
Laki-laki,>35 s.d. 45 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Riil,Lainnya,"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",Ya,Tidak,Ya
Laki-laki,>35 s.d. 45 tahun,S1,Staf non-manajerial,Ya,Sektor Riil,,"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",Ya,Ya,Tidak
Laki-laki,>45 s.d. 55 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Ya
Laki-laki,>35 s.d. 45 tahun,S2,Staf non-manajerial,Ya,Sektor Riil,Lainnya,Pengangkutan dan Pergudangan,Ya,Ya,Ya
Perempuan,>45 s.d. 55 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Tidak,Sektor Riil,,Pertambangan dan Penggalian,Tidak,Tidak,Tidak
Perempuan,>35 s.d. 45 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Riil,,Real Estat,Ya,Tidak,Tidak
Perempuan,25 s.d. 35 tahun,S1,Staf non-manajerial,Ya,Sektor Riil,,Informasi dan Komunikasi,Ya,Ya,Ya
Perempuan,25 s.d. 35 tahun,S2,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Ya
Laki-laki,>55 tahun,S2,"Manajemen senior organisasi (contoh: GM/Kadiv/EVP/VP/Group Head/Pimwil, atau setara)",Ya,Sektor Riil,,Pengangkutan dan Pergudangan,Ya,Tidak,Tidak
Laki-laki,>35 s.d. 45 tahun,S2,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Riil,,Pertambangan dan Penggalian,Ya,Tidak,Ya
Perempuan,25 s.d. 35 tahun,S1,Staf non-manajerial,Tidak,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Ya
Laki-laki,>55 tahun,S1,"Manajemen senior organisasi (contoh: GM/Kadiv/EVP/VP/Group Head/Pimwil, atau setara)",Ya,Sektor Jasa Keuangan,Bank,,Tidak,Tidak,Tidak
Laki-laki,25 s.d. 35 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Ya
Perempuan,>45 s.d. 55 tahun,S2,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Tidak
